Paso de Tiempo,Estado Anterior,Accion Tomada,Recompensa
1,"(2, 0, 0)",SEGUIR_CICLO,5.0
2,"(3, 0, 0)",SEGUIR_CICLO,5.0
3,"(0, 0, 0)",SEGUIR_CICLO,5.0
4,"(2, 0, 0)",ATENDER_PEATON,-10.0
5,"(0, 0, 0)",SEGUIR_CICLO,5.0
6,"(1, 0, 0)",SEGUIR_CICLO,5.0
7,"(2, 0, 0)",SEGUIR_CICLO,5.0
8,"(0, 0, 0)",SEGUIR_CICLO,5.0
9,"(0, 0, 0)",SEGUIR_CICLO,5.0
10,"(2, 0, 0)",ATENDER_PEATON,-10.0
11,"(0, 0, 0)",SEGUIR_CICLO,5.0
12,"(0, 0, 0)",ATENDER_PEATON,-10.0
13,"(2, 0, 0)",FORZAR_CAMBIO,-10.0
14,"(0, 0, 0)",SEGUIR_CICLO,5.0
15,"(1, 0, 0)",SEGUIR_CICLO,5.0
16,"(3, 0, 1)",FORZAR_CAMBIO,25.0
17,"(0, 0, 0)",ATENDER_PEATON,-10.0
18,"(4, 1, 0)",ATENDER_PEATON,20.0
19,"(4, 0, 0)",ATENDER_PEATON,-10.0
20,"(3, 0, 1)",ATENDER_PEATON,5.0
21,"(0, 0, 0)",SEGUIR_CICLO,5.0
22,"(2, 0, 1)",FORZAR_CAMBIO,25.0
23,"(0, 0, 0)",SEGUIR_CICLO,5.0
24,"(2, 0, 0)",FORZAR_CAMBIO,-10.0
25,"(0, 1, 0)",ATENDER_PEATON,20.0
26,"(5, 0, 0)",SEGUIR_CICLO,5.0
27,"(0, 0, 0)",SEGUIR_CICLO,5.0
28,"(2, 1, 0)",ATENDER_PEATON,20.0
29,"(4, 0, 0)",SEGUIR_CICLO,5.0
30,"(2, 0, 0)",SEGUIR_CICLO,5.0
31,"(0, 0, 0)",SEGUIR_CICLO,5.0
32,"(2, 1, 0)",ATENDER_PEATON,20.0
33,"(4, 0, 0)",SEGUIR_CICLO,5.0
34,"(3, 0, 1)",FORZAR_CAMBIO,25.0
35,"(2, 0, 0)",SEGUIR_CICLO,5.0
36,"(0, 0, 0)",FORZAR_CAMBIO,-10.0
37,"(2, 0, 0)",SEGUIR_CICLO,5.0
38,"(0, 0, 0)",ATENDER_PEATON,-10.0
39,"(2, 0, 0)",SEGUIR_CICLO,5.0
